,name,pypi_id,github_id,conda_id,homepage,category,github_url,license,created_at,updated_at,projectrank,fork_count,contributor_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,new_addition
0,casadi,casadi,casadi/casadi,conda-forge/casadi,http://web.casadi.org/,casadi-devs,https://github.com/casadi/casadi,LGPL-3.0,2012-10-31 13:50:50.000,2025-09-10 07:51:06.000,24,419.0,62.0,767.0,2001.0,CasADi is a symbolic framework for numeric optimization implementing automatic differentiation in forward and reverse..,https://pypi.org/project/casadi,2025-09-10 07:51:06.000,2025-09-10 07:51:06,3.7.2,46.0,179.0,179.0,482113.0,503567.0,https://anaconda.org/conda-forge/casadi,2025-09-04 12:13:38.520,1415998.0,True,1.0,
1,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,others,https://github.com/stack-of-tasks/pinocchio,MIT,2014-10-07 15:42:51.000,2025-09-22 14:40:35.825,21,332.0,54.0,44.0,1369.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,2021-05-18 10:27:19,0.4.3,57.0,4.0,4.0,50895.0,80476.0,https://anaconda.org/conda-forge/pinocchio,2025-09-22 14:40:35.825,1952379.0,True,1.0,True
2,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,www.do-mpc.com/,others,https://github.com/do-mpc/do-mpc,LGPL-3.0,2015-05-20 22:20:54.000,2025-10-31 13:21:03.709,18,181.0,11.0,83.0,998.0,Model predictive control python toolbox.,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,2025-10-31 08:53:59,5.1.0,27.0,7.0,7.0,27994.0,28330.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,10756.0,True,1.0,
3,adam,adam-robotics,ami-iit/adam,conda-forge/adam,https://github.com/ami-iit/adam,others,https://github.com/ami-iit/adam,BSD-3-Clause,2021-05-25 07:55:26.000,2025-10-15 13:29:53.000,16,25.0,10.0,14.0,200.0,"adam implements a collection of algorithms for calculating rigid-body dynamics in Jax, CasADi, PyTorch, and Numpy.",https://pypi.org/project/adam-robotics,2025-10-15 13:29:53.000,2025-10-15 13:29:53,0.4.0,19.0,,,2775.0,2775.0,https://anaconda.org/conda-forge/adam,,,True,1.0,True
4,HILO-MPC,hilo-mpc,hilo-mpc/hilo-mpc,,https://github.com/hilo-mpc/hilo-mpc,others,https://github.com/hilo-mpc/hilo-mpc,LGPL-3.0,2022-03-30 13:20:17.000,2025-11-09 15:20:09.000,14,36.0,7.0,19.0,185.0,"HILO-MPC is a Python toolbox for easy, flexible and fast development of machine-learning-supported optimal control and..",https://pypi.org/project/hilo-mpc,2025-11-09 15:20:09.000,2025-11-09 15:20:09,2.1.0,4.0,,,325.0,325.0,,,,True,1.0,
5,bioptim,bioptim,pyomeca/bioptim,conda-forge/bioptim,https://github.com/pyomeca/bioptim,others,https://github.com/pyomeca/bioptim,MIT,2020-03-31 13:46:21.000,2025-11-04 22:39:54.830,13,46.0,19.0,58.0,92.0,"An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem.",https://pypi.org/project/bioptim,,,,21.0,,,,2707.0,https://anaconda.org/conda-forge/bioptim,2025-11-04 22:39:54.830,157008.0,False,2.0,True
6,l4casadi,l4casadi,Tim-Salzmann/l4casadi,,https://github.com/Tim-Salzmann/l4casadi,others,https://github.com/Tim-Salzmann/l4casadi,MIT,2023-06-19 14:55:52.000,2024-10-13 10:14:04.000,12,23.0,1.0,2.0,353.0,Use PyTorch Models with CasADi for data-driven optimization or learning-based optimal control. Supports Acados.,https://pypi.org/project/l4casadi,2024-10-13 10:14:04.000,2024-10-13 10:14:04,2.0.0,7.0,,,307.0,307.0,,,,False,2.0,True
7,mpc-reinforcement-learning,mpc-reinforcement-learning,FilippoAiraldi/mpc-reinforcement-learning,,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,others,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,MIT,2022-11-28 16:27:04.000,2025-10-17 07:16:50.000,10,58.0,4.0,,548.0,Reinforcement Learning with Model Predictive Control.,https://pypi.org/project/mpc-reinforcement-learning,,,,,,,,,,,,True,2.0,True
8,jaxadi,jaxadi,based-robotics/jaxadi,,https://github.com/based-robotics/jaxadi,others,https://github.com/based-robotics/jaxadi,MIT,2024-09-06 06:57:09.086,2025-02-08 08:02:39.000,10,3.0,3.0,2.0,127.0,Transforms your CasADi functions into batchable JAX-compatible functions. By combining the power of CasADi with the..,https://pypi.org/project/jaxadi,2025-02-08 08:02:39.000,2025-02-08 08:02:39,0.4.0,4.0,,,40.0,40.0,,,,True,2.0,True
9,liecasadi,liecasadi,ami-iit/liecasadi,,https://github.com/ami-iit/liecasadi,others,https://github.com/ami-iit/liecasadi,BSD-3-Clause,2022-01-19 14:19:15.000,2025-03-11 15:55:57.000,10,2.0,2.0,1.0,46.0,"Rigid transform using Lie groups and Dual Quaternions, written in CasADi!.",https://pypi.org/project/liecasadi,2025-03-11 15:55:57.000,2024-01-16 12:02:29,0.0.6,6.0,,,4228.0,4228.0,,,,False,2.0,True
10,safe-control-gym,safe-control-gym,utiasDSL/safe-control-gym,conda-forge/safe-control-gym,https://github.com/utiasDSL/safe-control-gym,others,https://github.com/utiasDSL/safe-control-gym,MIT,2021-08-04 22:14:15.000,2024-06-10 10:33:21.000,9,119.0,6.0,16.0,544.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,https://pypi.org/project/safe-control-gym,,,,,,,,,https://anaconda.org/conda-forge/safe-control-gym,,,False,2.0,True
11,rbdl-orb,,ORB-HD/rbdl-orb,,https://github.com/ORB-HD/rbdl-orb,others,https://github.com/ORB-HD/rbdl-orb,,2019-03-26 10:51:42.000,2022-04-20 14:55:38.000,7,48.0,17.0,15.0,100.0,RBDL - Rigid Body Dynamics Library - ORB Version - The two main differences to the original rbdl is that this version..,,,,,,,,,,,,,False,2.0,True
12,UKF-SNMPC,,Eric-Bradford/UKF-SNMPC,,https://github.com/Eric-Bradford/UKF-SNMPC,others,https://github.com/Eric-Bradford/UKF-SNMPC,MIT,2024-04-21 05:07:43.574,2023-01-29 10:32:24.000,7,22.0,1.0,,56.0,This repository contains the source code for Unscented Kalman filter stochastic nonlinear model predictive control..,,,,,,,,,,,,,False,2.0,True
13,casadi-nlp,casadi-nlp,FilippoAiraldi/casadi-nlp,,https://github.com/FilippoAiraldi/casadi-nlp,others,https://github.com/FilippoAiraldi/casadi-nlp,MIT,2022-11-02 20:10:28.000,2025-10-16 20:25:33.000,7,2.0,3.0,,24.0,Nonlinear Progamming with CasADi.,https://pypi.org/project/casadi-nlp,,,,,,,,,,,,False,2.0,True
14,car-racing,,HybridRobotics/car-racing,,https://github.com/HybridRobotics/car-racing,others,https://github.com/HybridRobotics/car-racing,MIT,2021-02-04 23:32:58.000,2022-07-16 22:19:26.000,6,16.0,1.0,1.0,73.0,A toolkit for testing control and planning algorithm for car racing.,,,,,,,,,,,,,False,3.0,True
15,Nominal_NMPC,,Eric-Bradford/Nominal_NMPC,,https://github.com/Eric-Bradford/Nominal_NMPC,others,https://github.com/Eric-Bradford/Nominal_NMPC,MIT,2021-03-23 13:57:07.000,2021-04-09 18:04:19.000,6,6.0,1.0,,39.0,A basic nonlinear model predictive control implementation using Casadi with Unscented Kalman filter state estimation.,,,,,,,,,,,,,False,3.0,True
16,openap-top,,junzis/openap-top,,https://github.com/junzis/openap-top,others,https://github.com/junzis/openap-top,LGPL-3.0,2024-12-11 21:21:27.077,2025-07-01 16:00:17.000,6,11.0,3.0,,35.0,easy-peasy optimal flight trajectory.,,,,,,,,,,,,,False,3.0,True
17,SDD-GP-MPC,,Eric-Bradford/SDD-GP-MPC,,https://github.com/Eric-Bradford/SDD-GP-MPC,others,https://github.com/Eric-Bradford/SDD-GP-MPC,MIT,2024-04-21 05:07:42.711,2023-04-09 09:18:23.000,6,6.0,1.0,,29.0,This repository contains the source code for Stochastic data-driven model predictive control using Gaussian processes..,,,,,,,,,,,,,False,3.0,True
18,TROPIC,,fevrem/TROPIC,,https://github.com/fevrem/TROPIC,others,https://github.com/fevrem/TROPIC,BSD-3-Clause,2020-02-18 15:49:01.000,2021-01-19 13:23:29.000,6,5.0,1.0,,24.0,TROPIC: TRajectory OPtimization In CasADi.,,,,,,,,,,,,,False,3.0,True
19,CasADi.jl,,ichatzinikolaidis/CasADi.jl,,https://github.com/ichatzinikolaidis/CasADi.jl,others,https://github.com/ichatzinikolaidis/CasADi.jl,MIT,2019-04-11 14:04:16.000,2020-12-01 01:48:18.000,6,7.0,2.0,1.0,24.0,Julia interface to CasADi via PyCall.,,,,,,,,,,,,,False,3.0,True
20,diff_uv,,edxmorgan/diff_uv,,https://github.com/edxmorgan/diff_uv,others,https://github.com/edxmorgan/diff_uv,MIT,2024-10-16 16:20:35.105,2024-09-24 16:38:47.000,6,4.0,3.0,,8.0,A differentiable underwater vehicle dynamics in body and ned(euler & quaternion).,,,,,,,,,,,,,False,3.0,True
21,CasADi_MPC_MHE_Python,,tomcattiger1230/CasADi_MPC_MHE_Python,,https://github.com/tomcattiger1230/CasADi_MPC_MHE_Python,others,https://github.com/tomcattiger1230/CasADi_MPC_MHE_Python,,2020-05-29 15:54:32.000,2023-06-01 06:59:47.000,5,33.0,1.0,,132.0,This repository is an implementation of the work from Mohamed W. Mehrez. I convert the original code in MATLAB to the..,,,,,,,,,,,,,False,3.0,True
22,biped_trajectory_optimization,,IvLabs/biped_trajectory_optimization,,https://github.com/IvLabs/biped_trajectory_optimization,others,https://github.com/IvLabs/biped_trajectory_optimization,,2020-05-11 08:01:04.000,2021-11-04 09:48:17.000,5,11.0,3.0,,82.0,Implementing trajectory optimization on bipedal system.,,,,,,,,,,,,,False,3.0,True
