,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,trending,github_release_downloads,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2026-01-31 12:56:22.000,2026-01-31 12:56:22,15903.0,77.0,730.0,26.0,2569.0,194.0,1563.0,1477.0,2026-01-22 14:15:05.000,25.12.2,74.0,Fast and flexible physics-based battery models in Python.,151.0,139.0,141.0,33,https://pypi.org/project/pybamm,2026-01-22 14:15:05.000,12.0,35681.0,41214.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,370733.0,True,others,1,-1.0,,
1,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2026-01-29 17:54:28.000,2026-01-29 17:54:28,2184.0,17.0,413.0,66.0,653.0,471.0,763.0,4441.0,2025-10-28 20:24:14.000,2.6.1,33.0,A python parametric CAD scripting framework based on OCCT.,546.0,464.0,114.0,32,https://pypi.org/project/cadquery,2025-10-28 20:05:31.000,82.0,87089.0,88033.0,https://anaconda.org/conda-forge/cadquery,2025-10-29 02:10:50.687,56658.0,True,others,1,,,
2,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2026-02-01 05:26:44.000,2026-01-15 11:59:38,9954.0,130.0,459.0,66.0,1408.0,91.0,1083.0,3087.0,2026-01-05 14:02:59.000,3.9.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,105.0,31,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,4.0,34286.0,65122.0,https://anaconda.org/conda-forge/pinocchio,2026-01-08 14:54:20.391,2079703.0,True,robotics,1,,90542.0,
3,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2026-01-31 14:58:26.846,2025-11-10 12:54:10,2982.0,2.0,389.0,40.0,311.0,112.0,278.0,2058.0,2025-10-15 14:04:59.000,1.0.5,45.0,The Operator Splitting QP Solver.,147.0,,36.0,30,https://pypi.org/project/osqp,2026-01-26 21:12:22.000,147.0,2647681.0,2671943.0,https://anaconda.org/conda-forge/osqp,2026-01-31 14:58:26.846,1383782.0,True,solver,1,,167332.0,
4,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2025-12-25 08:58:34.000,2025-11-05 23:01:12,4342.0,37.0,168.0,38.0,37.0,6.0,79.0,1110.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",156.0,147.0,23.0,29,https://pypi.org/project/aerosandbox,2025-11-05 22:53:15.000,9.0,19605.0,19605.0,,,,True,robotics,1,1.0,,
5,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2026-01-30 17:34:35.000,2026-01-05 10:18:11,13009.0,2.0,272.0,31.0,1573.0,128.0,890.0,1465.0,2025-10-25 17:45:44.000,1.12.0,20.0,Linear optimization software.,,,98.0,26,,,,,10409.0,https://anaconda.org/conda-forge/highspy,2025-10-27 09:15:47.797,179581.0,True,solver,1,-4.0,21670.0,
6,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2026-02-01 17:39:17.000,2026-01-20 16:11:08,2120.0,33.0,67.0,16.0,304.0,16.0,78.0,538.0,2025-03-12 15:43:57.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,93.0,77.0,26.0,26,https://pypi.org/project/proxsuite,2025-03-20 17:51:00.000,16.0,55566.0,82601.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1096175.0,True,solver,1,,39342.0,
7,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2026-02-01 12:31:04.000,2026-02-01 12:30:23,2430.0,1.0,304.0,45.0,44.0,9.0,615.0,1699.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,25,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,961.0,34564.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2125299.0,True,solver,2,,27772.0,
8,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,201.0,27.0,108.0,85.0,167.0,1328.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,25,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,7.0,10260.0,10606.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,12035.0,True,mpc,1,,384.0,
9,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2026-01-31 02:57:45.000,2026-01-26 16:43:46,7041.0,19.0,162.0,36.0,597.0,42.0,212.0,623.0,2026-01-26 19:16:35.000,7.6.0,47.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,47.0,25,,,,,4874.0,,,,True,solver,2,1.0,487411.0,
