,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank,show,category,projectrank_placing,trending,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2026-04-01 14:43:54.000,2026-04-01 13:21:23,15950.0,79.0,737.0,27.0,2621.0,156.0,1569.0,1525.0,2026-03-23 11:37:41.000,26.3.0,63.0,Fast and flexible physics-based battery models in Python.,143.0,143.0,143.0,https://pypi.org/project/pybamm,54479.0,60023.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,382572.0,34,True,others,1,1.0,,,,
1,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2026-04-01 17:55:03.000,2026-03-31 05:21:23,2203.0,28.0,433.0,72.0,673.0,473.0,777.0,4729.0,2026-02-13 16:50:46.000,2.7.0,34.0,A python parametric CAD scripting framework based on OCCT.,592.0,497.0,115.0,https://pypi.org/project/cadquery,205181.0,206213.0,https://anaconda.org/conda-forge/cadquery,2026-02-13 17:13:11.634,64022.0,32,True,others,1,,2026-02-13 16:50:46.000,95.0,,
2,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2026-04-01 05:37:42.000,2026-03-23 10:40:45,9986.0,48.0,481.0,67.0,1422.0,95.0,1086.0,3200.0,2026-01-05 14:02:59.000,3.9.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,104.0,https://pypi.org/project/pinocchio,48757.0,80208.0,https://anaconda.org/conda-forge/pinocchio,2026-03-31 11:10:28.682,2180395.0,31,True,robotics,1,,2021-12-15 13:42:46.763,4.0,97985.0,
3,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2026-04-01 14:11:37.000,2026-03-13 12:05:43,13825.0,357.0,294.0,34.0,1666.0,159.0,925.0,1561.0,2026-02-11 16:25:56.000,1.13.1,22.0,Linear optimization software.,,,109.0,,,11478.0,https://anaconda.org/conda-forge/highspy,2026-02-19 12:58:01.507,218081.0,30,True,solver,1,,,,29874.0,
4,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2026-02-16 09:24:41.901,2025-11-10 12:54:10,2982.0,,392.0,40.0,313.0,111.0,278.0,2099.0,2025-03-21 22:16:50.000,1.0.0,17.0,The Operator Splitting QP Solver.,,,36.0,https://pypi.org/project/osqp,3722739.0,3747288.0,https://anaconda.org/conda-forge/osqp,2026-02-16 09:24:41.901,1437686.0,28,True,solver,1,-3.0,,,186832.0,
5,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2026-03-23 12:00:04.000,2026-03-23 12:00:04,2142.0,33.0,70.0,15.0,309.0,15.0,81.0,548.0,2025-03-12 14:50:39.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,79.0,79.0,26.0,https://pypi.org/project/proxsuite,82180.0,108834.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1131744.0,26,True,solver,2,,,,41063.0,
6,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2026-03-06 08:54:06.000,2026-03-06 08:52:40,2431.0,2.0,308.0,45.0,46.0,13.0,615.0,1725.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,https://pypi.org/project/ipopt,2787.0,37519.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2265672.0,25,True,solver,2,,2021-04-07 07:03:48.000,10.0,29148.0,
7,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2026-03-23 16:37:10.000,2025-11-05 23:01:12,4342.0,,180.0,39.0,41.0,9.0,79.0,1169.0,,,,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",154.0,154.0,23.0,https://pypi.org/project/aerosandbox,18618.0,18618.0,,,,25,True,robotics,1,,,,,
8,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2026-04-01 18:26:11.000,2026-01-26 16:43:46,7041.0,8.0,160.0,36.0,648.0,29.0,217.0,643.0,2026-01-26 19:16:35.000,7.6.0,47.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,48.0,,,5667.0,,,,24,True,solver,2,,,,578120.0,
9,casadi,casadi,casadi/casadi,conda-forge/casadi,https://github.com/casadi/casadi,http://web.casadi.org/,LGPL-3.0,2012-10-31 13:50:50,2026-03-23 10:26:21.000,,,,436.0,,,785.0,,2172.0,2025-09-10 07:51:06.000,3.7.2,46.0,CasADi is a symbolic framework for numeric optimization implementing automatic differentiation in forward and reverse..,179.0,,62.0,https://pypi.org/project/casadi,703398.0,726567.0,https://anaconda.org/conda-forge/casadi,2026-03-22 04:58:10.849,1645054.0,23,True,casadi-devs,1,1.0,2025-09-10 07:51:06.000,179.0,,
10,bioptim,,pyomeca/bioptim,conda-forge/bioptim,https://github.com/pyomeca/bioptim,https://github.com/pyomeca/bioptim,MIT,2020-03-31 13:46:21,2026-04-01 12:52:30.000,2026-02-09 22:08:37,8287.0,57.0,56.0,4.0,733.0,61.0,249.0,118.0,2025-11-25 13:12:32.000,Release_3.4.0,23.0,"An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem.",,,41.0,,,2807.0,https://anaconda.org/conda-forge/bioptim,2025-11-25 13:40:00.513,176846.0,23,True,robotics,2,,,,13.0,
11,DAQP,daqp,darnstrom/daqp,conda-forge/daqp,https://github.com/darnstrom/daqp,https://github.com/darnstrom/daqp,MIT,2021-09-06 07:46:36,2026-03-30 19:11:33.000,2026-03-28 16:03:38,303.0,41.0,18.0,4.0,121.0,9.0,21.0,104.0,2026-03-25 15:35:20.000,0.8.5,16.0,A dual active-set algorithm for convex quadratic programming.,154.0,122.0,11.0,https://pypi.org/project/daqp,303128.0,307231.0,https://anaconda.org/conda-forge/daqp,2026-03-26 10:16:30.198,147292.0,23,True,solver,3,2.0,2026-03-25 15:35:20.000,32.0,594.0,
12,acados,,acados/acados,,https://github.com/acados/acados,https://docs.acados.org/,,2016-04-05 10:06:48,2026-04-01 15:17:11.000,2026-04-01 15:17:10,8632.0,57.0,314.0,22.0,1433.0,50.0,327.0,1290.0,2025-12-05 16:20:57.000,0.5.3,35.0,Fast and embedded solvers for nonlinear optimal control and nonlinear model predictive control.,,,102.0,,,1.0,,,,22,True,mpc,1,,,,94.0,
13,adam,adam-robotics,ami-iit/adam,conda-forge/adam-robotics-casadi,https://github.com/gbionics/adam,https://adam-docs.readthedocs.io/en/latest/,BSD-3-Clause,2021-05-25 07:55:26,2026-04-01 13:09:14.000,2026-03-31 08:57:58,919.0,65.0,29.0,12.0,111.0,8.0,39.0,213.0,2026-03-31 15:09:59.000,0.5.3,23.0,"adam implements a collection of algorithms for calculating rigid-body dynamics in Jax, CasADi, PyTorch, and Numpy.",7.0,7.0,14.0,https://pypi.org/project/adam-robotics,6677.0,6863.0,https://anaconda.org/conda-forge/adam-robotics-casadi,2026-04-01 10:47:26.724,3176.0,22,True,robotics,2,,2025-12-04 15:47:30.000,,34.0,gbionics/adam
14,Deltares RTC-Tools,rtc-tools,rtc-tools/rtc-tools,,https://github.com/rtc-tools/rtc-tools,https://github.com/rtc-tools/rtc-tools,LGPL-3.0,2024-09-04 06:39:27,2026-04-01 08:25:18.000,2026-03-10 09:54:05,1465.0,11.0,10.0,4.0,148.0,46.0,1579.0,16.0,2026-01-20 14:31:09.000,2.7.3,87.0,"RTC-Tools is an open-source Python framework for modeling, simulation, and optimization of dynamic systems. Its core..",33.0,22.0,22.0,https://pypi.org/project/rtc-tools,3756.0,3756.0,,,,22,False,others,2,,2026-01-20 14:20:04.000,11.0,,
15,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,210.0,28.0,108.0,84.0,168.0,1367.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,,,34.0,https://pypi.org/project/do-mpc,,354.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,13003.0,21,True,mpc,1,-4.0,,,384.0,
16,Clarabel,,oxfordcontrol/Clarabel.rs,conda-forge/clarabel,https://github.com/oxfordcontrol/Clarabel.rs,https://clarabel.org/,Apache-2.0,2022-04-17 13:48:34,2025-12-17 09:55:56.799,2025-09-25 13:24:15,629.0,,41.0,13.0,151.0,23.0,50.0,545.0,2025-06-11 16:41:15.000,0.11.1,18.0,Clarabel.rs: Interior-point solver for convex conic optimisation problems in Rust.,62.0,62.0,11.0,,,11858.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,355750.0,21,True,solver,3,,,,,
17,mpc-reinforcement-learning,mpcrl,FilippoAiraldi/mpc-reinforcement-learning,,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,https://mpc-reinforcement-learning.readthedocs.io/,MIT,2022-11-28 16:27:04,2026-03-31 08:08:57.000,2026-03-31 08:08:57,1053.0,15.0,66.0,7.0,27.0,,9.0,669.0,2025-10-17 07:19:27.000,1.4.1,20.0,Reinforcement Learning with Model Predictive Control.,13.0,13.0,4.0,https://pypi.org/project/mpcrl,821.0,821.0,,,,19,True,machine-learning,1,,,,,
18,Pymoca,pymoca,pymoca/pymoca,,https://github.com/pymoca/pymoca,https://github.com/pymoca/pymoca,BSD-3-Clause,2014-06-09 22:42:19,2026-03-12 18:09:44.000,2026-03-10 14:59:38,1027.0,1.0,26.0,13.0,230.0,63.0,70.0,92.0,2026-03-12 18:09:48.000,0.11.2,61.0,A Modelica to computer algebra system translator written in python.,29.0,22.0,14.0,https://pypi.org/project/pymoca,5420.0,5420.0,,,,19,True,others,2,1.0,2026-03-12 18:09:44.000,7.0,91.0,
19,MadNLP,,MadNLP/MadNLP.jl,,https://github.com/MadNLP/MadNLP.jl,https://madnlp.github.io/,MIT,2020-09-16 23:07:35,2026-04-01 06:58:51.000,2026-03-17 18:31:57,647.0,50.0,24.0,13.0,466.0,35.0,102.0,240.0,2026-02-25 22:28:16.000,0.9.1,32.0,A solver for nonlinear programming with GPU support.,,,19.0,,,,,,,18,True,solver,3,,,,,
20,HILO-MPC,hilo-mpc,hilo-mpc/hilo-mpc,,https://github.com/hilo-mpc/hilo-mpc,https://github.com/hilo-mpc/hilo-mpc,LGPL-3.0,2022-03-30 13:20:17,2026-04-01 11:17:18.000,2026-03-24 21:23:46,356.0,7.0,36.0,6.0,29.0,20.0,16.0,199.0,2026-03-08 10:58:43.000,2.1.1,10.0,"HILO-MPC is a Python toolbox for easy, flexible and fast development of machine-learning-supported optimal control and..",3.0,3.0,9.0,https://pypi.org/project/hilo-mpc,202.0,202.0,,,,17,True,mpc,2,2.0,2026-03-08 10:58:43.000,,18.0,
21,HPIPM,,giaf/hpipm,,https://github.com/giaf/hpipm,https://github.com/giaf/hpipm,,2017-05-12 08:20:10,2026-03-26 13:32:16.000,2026-03-26 13:32:03,1520.0,14.0,136.0,20.0,84.0,44.0,55.0,673.0,2020-08-13 11:22:57.000,0.1.3,4.0,High-performance interior-point-method QP and QCQP solvers.,,,28.0,,,,,,,16,True,solver,3,,,,,
