,name,pypi_id,github_id,conda_id,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,trending,github_release_downloads,updated_github_id
0,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://cadquery.readthedocs.io/,https://github.com/CadQuery/cadquery,2018-10-28 17:57:18,2026-07-01 08:03:56.000,2026-06-30 19:11:51,2219.0,16.0,508.0,71.0,690.0,460.0,798.0,5393.0,2026-06-21 13:33:04.000,2.8.0,35.0,A python parametric CAD scripting framework based on OCCT.,678.0,547.0,116.0,33,https://pypi.org/project/cadquery,Apache-2.0,2026-06-21 13:33:04.000,131.0,448069.0,449282.0,https://anaconda.org/conda-forge/cadquery,2026-06-21 09:18:16.464,78849.0,True,others,1,1.0,,
1,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,2014-10-07 15:42:51,2026-07-01 19:29:40.000,2026-07-01 19:29:39,13154.0,208.0,514.0,68.0,1455.0,94.0,1101.0,3532.0,2026-04-13 12:17:49.000,4.0.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,119.0,33,https://pypi.org/project/pinocchio,BSD-2-Clause,2021-12-15 13:42:46.763,4.0,48069.0,81232.0,https://anaconda.org/conda-forge/pinocchio,2026-06-05 18:05:12.102,2392069.0,True,robotics,1,,113165.0,
2,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,2018-10-31 10:26:29,2026-07-01 20:00:05.000,2026-06-23 08:06:11,16178.0,157.0,779.0,28.0,2796.0,232.0,1585.0,1602.0,2026-06-16 16:27:34.000,26.6.2.0,86.0,Fast and flexible physics-based battery models in Python.,179.0,153.0,145.0,33,https://pypi.org/project/pybamm,BSD-3-Clause,2026-06-16 16:29:22.000,26.0,122902.0,128511.0,https://anaconda.org/conda-forge/pybamm,2026-06-16 20:58:32.776,403888.0,True,others,1,-1.0,,
3,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://osqp.org/,https://github.com/osqp/osqp,2016-09-27 03:02:46,2026-06-13 15:04:55.356,2025-11-10 12:54:10,2982.0,,408.0,40.0,314.0,124.0,278.0,2153.0,2026-06-09 18:18:17.000,1.1.2,48.0,The Operator Splitting QP Solver.,169.0,,36.0,32,https://pypi.org/project/osqp,Apache-2.0,2026-06-12 16:58:37.000,169.0,4520611.0,4545791.0,https://anaconda.org/conda-forge/osqp,2026-06-13 15:04:55.356,1533888.0,True,solver,1,1.0,215407.0,
4,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2026-07-01 18:11:41.000,2026-06-27 22:11:49,15294.0,561.0,327.0,31.0,1779.0,165.0,981.0,1687.0,2026-06-28 08:08:43.000,1.15.0,24.0,Linear optimization software.,,,122.0,30,,MIT,,,,13984.0,https://anaconda.org/conda-forge/highspy,2026-04-06 18:24:10.872,297254.0,True,solver,1,,58314.0,
5,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,2019-05-15 17:16:26,2026-04-14 03:51:40.000,2025-11-05 23:01:12,4342.0,,197.0,40.0,44.0,9.0,79.0,1248.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",170.0,161.0,23.0,26,https://pypi.org/project/aerosandbox,MIT,2025-11-05 22:53:15.000,9.0,45724.0,45724.0,,,,True,robotics,1,-1.0,,
6,SUNDIALS,,LLNL/sundials,,https://computing.llnl.gov/projects/sundials,https://github.com/llnl/sundials,2017-10-05 17:20:03,2026-07-01 00:10:13.000,2026-06-25 17:22:28,7145.0,51.0,164.0,36.0,711.0,52.0,226.0,668.0,2026-06-25 19:33:06.000,7.8.0,49.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,50.0,26,,BSD-3-Clause,,,,6172.0,,,,True,solver,2,1.0,648130.0,
7,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,2022-05-05 16:01:55,2026-07-01 17:36:16.000,2026-06-10 12:43:38,2160.0,18.0,74.0,16.0,318.0,17.0,87.0,575.0,2026-05-11 17:43:19.000,0.7.3,45.0,The Advanced Proximal Optimization Toolbox.,24.0,,26.0,26,https://pypi.org/project/proxsuite,BSD-2-Clause,2026-05-11 17:43:19.000,24.0,67494.0,93998.0,https://anaconda.org/conda-forge/proxsuite,2026-05-11 17:45:40.519,1201595.0,True,solver,2,,44147.0,
8,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://coin-or.github.io/Ipopt/,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2026-05-25 15:59:08.000,2026-05-25 14:32:49,2433.0,2.0,316.0,45.0,46.0,14.0,615.0,1764.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,25,https://pypi.org/project/ipopt,EPL-2.0,2021-04-07 07:03:48.000,10.0,2214.0,39595.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2547854.0,True,solver,2,-1.0,34212.0,
9,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,www.do-mpc.com/,https://github.com/do-mpc/do-mpc,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,215.0,28.0,109.0,84.0,168.0,1418.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,24,https://pypi.org/project/do-mpc,LGPL-3.0,2025-10-31 09:44:43.000,7.0,12183.0,12556.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,14822.0,True,mpc,1,,392.0,
